Unnamed: 0,question,answer,Question_Sentiment,Answer_Sentiment
381,it was a great game.,what was the score at the end of the game?,0.2,-0.4
382,what was the score at the end of the game?,our team won 101-98.,-0.4,0.0
383,our team won 101-98.,sounds like it was a close game.,0.0,-0.4
384,sounds like it was a close game.,that's the reason it was such a great game.,-0.4,0.13333333333333333
385,that's the reason it was such a great game.,"the next game, i will definitely be there.",0.13333333333333333,-0.13333333333333333
386,i was meaning to ask you if you saw the basketball game on friday.,"i wanted to go, but i couldn't.",-0.4,0.0
387,"i wanted to go, but i couldn't.",it was a great game.,0.0,0.2
388,it was a great game.,it's too bad that i couldn't make it. who won?,0.2,-0.6999999999999998
389,it's too bad that i couldn't make it. who won?,our team played hard and won.,-0.6999999999999998,-0.2916666666666667
390,our team played hard and won.,i really wish i went to the game.,-0.2916666666666667,-0.1
391,i really wish i went to the game.,it was the best game ever.,-0.1,0.3
392,it was the best game ever.,so tell me the final score.,0.3,0.0
393,so tell me the final score.,"the other team lost by three points, 101-98. ",0.0,-0.125
394,"the other team lost by three points, 101-98. ",it must've been a close game.,-0.125,-0.4
395,it must've been a close game.,it really was. you should've gone.,-0.4,0.2
396,what are you doing this weekend?,i'm going to the movies with a friend. how about you?,0.0,0.0
397,i'm going to the movies with a friend. how about you?,i'm not sure yet.,0.0,-0.25
398,i'm not sure yet.,"well, did you want to go see a movie with me?",-0.25,0.0
399,"well, did you want to go see a movie with me?",what movie are you going to see?,0.0,0.0
400,what movie are you going to see?,i'm not sure yet. is there something you want to see?,0.0,-0.25
401,i'm not sure yet. is there something you want to see?,there's nothing i can think of.,-0.25,0.0
402,there's nothing i can think of.,"so, did you want to go?",0.0,0.0
403,"so, did you want to go?","no, thanks, maybe another time.",0.0,-0.1
404,"no, thanks, maybe another time.","okay, sounds good.",-0.1,0.6
405,do you know what you're going to do this weekend?,i am going to see a movie with a friend of mine. what about you?,0.0,0.0
406,i am going to see a movie with a friend of mine. what about you?,i don't know.,0.0,0.0
407,i don't know.,would you like to see a movie with me and my friend?,0.0,0.0
408,would you like to see a movie with me and my friend?,do you know what movie you're going to watch?,0.0,0.0
409,do you know what movie you're going to watch?,"i don't know, but was there a certain movie you wanted to see?",0.0,0.21428571428571427
410,"i don't know, but was there a certain movie you wanted to see?",none that i can think of.,0.21428571428571427,0.0
411,none that i can think of.,"well, would you like to go?",0.0,0.0
412,"well, would you like to go?","thank you for inviting me, but i think i'll pass.",0.0,0.0
413,"thank you for inviting me, but i think i'll pass.",all right. another time then.,0.0,0.2857142857142857
414,you have any ideas as to what you want to do this weekend?,i'm going to the movie theater with my friend. what are you going to do?,0.0,0.0
415,i'm going to the movie theater with my friend. what are you going to do?,i'm not quite sure yet.,0.0,0.5
416,i'm not quite sure yet.,how about you see a movie with me and my friend?,0.5,0.0
417,how about you see a movie with me and my friend?,what movie are you and your friend planning on watching?,0.0,0.0
418,what movie are you and your friend planning on watching?,not sure. is there a movie out that catches your eye?,0.0,-0.25
419,not sure. is there a movie out that catches your eye?,no good movies come to mind.,-0.25,-0.35
420,no good movies come to mind.,have you decided whether or not you would like to go?,-0.35,0.0
421,have you decided whether or not you would like to go?,"no, thanks. maybe another time.",0.0,-0.1
422,did you go to school today?,"yeah, i went to school today. were you there?",0.0,0.0
423,"yeah, i went to school today. were you there?","no, i didn't go, i've been sick.",0.0,-0.7142857142857143
424,"no, i didn't go, i've been sick.",that sucks. did you want the assignments from english class?,-0.7142857142857143,-0.15
425,that sucks. did you want the assignments from english class?,"that would be nice, thank you.",-0.15,0.6
426,"that would be nice, thank you.","no problem, you're welcome.",0.6,0.8
427,"no problem, you're welcome.",i will be glad to do the same for you when you're sick.,0.8,-0.07142857142857144
428,i will be glad to do the same for you when you're sick.,"well, thank you. i hope to see you at school tomorrow.",-0.07142857142857144,0.0
429,have you attended school today?,i attended school today. did you?,0.0,0.0
430,i attended school today. did you?,i wasn't able to attend school because i was feeling ill.,0.0,0.0
431,i wasn't able to attend school because i was feeling ill.,i'm sorry to hear that. would you like the assignments from english class?,0.0,-0.25
432,i'm sorry to hear that. would you like the assignments from english class?,"i would really appreciate that, thanks.",-0.25,0.2
433,"i would really appreciate that, thanks.",it's no trouble at all.,0.2,0.1
434,it's no trouble at all.,"if you get sick, i'll return the favor.",0.1,-0.7142857142857143
435,"if you get sick, i'll return the favor.",thanks. see you at school tomorrow if you feel better.,-0.7142857142857143,0.35
436,have you gone to school today?,i went to school today. did you go to school?,0.0,0.0
437,i went to school today. did you go to school?,"i couldn't go to school today, i was sick.",0.0,-0.7142857142857143
438,"i couldn't go to school today, i was sick.",that's horrible. i'd be happy to give you the assignments from english class.,-0.7142857142857143,-0.06666666666666665
439,that's horrible. i'd be happy to give you the assignments from english class.,"thank you very much, that's kind of you.",-0.06666666666666665,0.43
440,"thank you very much, that's kind of you.",don't mention it.,0.43,0.0
441,don't mention it.,"when you miss a day of school, i'll be happy to give you the english assignments.",0.0,0.4
442,did you hear the news?,what happened?,0.0,0.0
443,what happened?,our cousin went into labor and had her baby last week.,0.0,0.0
444,our cousin went into labor and had her baby last week.,she did? why didn't anyone tell me?,0.0,0.0
445,she did? why didn't anyone tell me?,i would've thought that somebody would have told you.,0.0,0.0
446,i would've thought that somebody would have told you.,"no, i had no idea.",0.0,0.0
447,"no, i had no idea.","well, she did, her baby was 8 pounds 6 ounces.",0.0,0.0
448,"well, she did, her baby was 8 pounds 6 ounces.","oh my god, that's great!",0.0,1.0
449,"oh my god, that's great!",are you going to go and visit her and the baby?,1.0,0.0
450,are you going to go and visit her and the baby?,i think that i might.,0.0,0.0
451,i think that i might.,good! i just thought i'd let you know.,0.0,0.875
452,good! i just thought i'd let you know.,thanks for telling me.,0.875,0.2
453,have you heard what happened?,heard what?,0.0,0.0
454,heard what?,debrah already had her baby.,0.0,0.0
455,debrah already had her baby.,i didn't know that.,0.0,0.0
456,i didn't know that.,i thought you knew.,0.0,0.0
457,i thought you knew.,i honestly didn't know.,0.0,0.6
458,i honestly didn't know.,the baby was 8 pounds 6 ounces.,0.6,0.0
459,the baby was 8 pounds 6 ounces.,that's good to hear.,0.0,0.7
460,that's good to hear.,will you go and visit them?,0.7,0.0
461,will you go and visit them?,of course i will.,0.0,0.0
462,of course i will.,i just wanted to give you the good news.,0.0,0.7
463,i just wanted to give you the good news.,thanks for letting me know.,0.7,0.2
464,have you heard the news?,i haven't heard anything.,0.0,0.0
465,i haven't heard anything.,debrah had her baby last week.,0.0,0.0
466,debrah had her baby last week.,nobody told me.,0.0,0.0
467,nobody told me.,i thought you heard.,0.0,0.0
468,i thought you heard.,i really wasn't told anything.,0.0,0.2
469,i really wasn't told anything.,she was a cute 8 pounds 6 ounces.,0.2,0.5
470,she was a cute 8 pounds 6 ounces.,"wow, how exciting.",0.5,0.2
471,"wow, how exciting.","i know, you should really go and see her and the baby.",0.2,0.2
472,"i know, you should really go and see her and the baby.",of course i will.,0.2,0.0
473,of course i will.,i just wanted to let you know what happened.,0.0,0.0
474,did you go to school today?,of course. did you?,0.0,0.0
475,of course. did you?,"i didn't want to, so i didn't.",0.0,0.0
476,"i didn't want to, so i didn't.","that's sad, but have you gone to the movies recently?",0.0,-0.25
477,"that's sad, but have you gone to the movies recently?",that's a switch.,-0.25,0.0
478,that's a switch.,"i'm serious, have you?",0.0,-0.3333333333333333
479,"i'm serious, have you?","no, i haven't. why?",-0.3333333333333333,0.0
480,"no, i haven't. why?",i really want to go to the movies this weekend.,0.0,0.2
481,i really want to go to the movies this weekend.,so go then.,0.2,0.0
482,so go then.,i really don't want to go by myself.,0.0,0.2
483,i really don't want to go by myself.,"well anyway, do you plan on going to school tomorrow?",0.2,0.0
484,"well anyway, do you plan on going to school tomorrow?","no, i think i'm going to go to the movies.",0.0,0.0
485,did you make it to school today?,i always do. did you go to school today?,0.0,0.0
486,i always do. did you go to school today?,"no, i didn't.",0.0,0.0
487,"no, i didn't.","you should have, but have you seen any movies lately?",0.0,-0.3
488,"you should have, but have you seen any movies lately?",that was an odd change of subject.,-0.3,-0.16666666666666666
489,that was an odd change of subject.,"maybe it was, but answer the question.",-0.16666666666666666,0.0
490,"maybe it was, but answer the question.","no, not recently.",0.0,0.0
491,"no, not recently.",i want to go to see a movie this weekend.,0.0,0.0
492,i want to go to see a movie this weekend.,what's stopping you then?,0.0,0.0
493,what's stopping you then?,i don't want to go alone.,0.0,0.0
494,i don't want to go alone.,"so, will you be at school tomorrow?",0.0,0.0
495,"so, will you be at school tomorrow?","no, i want to go to the movies instead.",0.0,0.0
496,did you even bother to go to school today?,"yeah, i went. did you go?",0.0,0.0
497,"yeah, i went. did you go?","no, i didn't feel like it.",0.0,0.0
498,"no, i didn't feel like it.","that's nice, have you been to the movies lately?",0.0,0.15
